time,seconds_elapsed,y,z,x,longitude,latitude
1.72E+18,144.3220981,0.653750002,8.62749958,-0.179999992,90.36807202,23.7314549
1.72E+18,144.3323511,0.653750002,8.932499886,-0.064999998,90.36807202,23.7314549
1.72E+18,144.342605,0.729999959,8.856249809,-0.026249999,90.36807202,23.7314549
1.72E+18,144.3528589,0.882499993,8.856249809,-0.026249999,90.36807202,23.7314549
1.72E+18,144.363113,1.034999967,8.588749886,0.01125,90.36807202,23.7314549
1.72E+18,144.3733669,1.226249933,7.557499886,0.087499999,90.36807202,23.7314549
1.72E+18,144.3836211,1.379999995,7.098749638,0.087499999,90.36807202,23.7314549
1.72E+18,144.393875,1.532499909,6.792500019,0.087499999,90.36807202,23.7314549
1.72E+18,144.4041289,1.876249909,6.56374979,0.163749993,90.36807202,23.7314549
1.72E+18,144.4143831,1.837499976,6.754999638,0.049999997,90.36807202,23.7314549
1.72E+18,144.424637,1.837499976,6.983749866,-0.064999998,90.36807202,23.7314549
1.72E+18,144.4348909,1.876249909,7.403749943,-0.217500001,90.36807202,23.7314549
1.72E+18,144.445144,1.837499976,8.856249809,-0.484999985,90.36807202,23.7314549
1.72E+18,144.4553979,1.837499976,9.619999886,-0.332499981,90.36807202,23.7314549
1.72E+18,144.4656521,1.914999962,10.11749935,-0.371250004,90.36807202,23.7314549
1.72E+18,144.475906,2.182499886,10.34624958,-0.371250004,90.36807202,23.7314549
1.72E+18,144.4861599,2.258749962,10.00249958,-0.332499981,90.36807202,23.7314549
1.72E+18,144.4964141,2.526249886,9.619999886,-0.332499981,90.36807202,23.7314549
1.72E+18,144.506668,2.678750038,9.352499962,-0.217500001,90.36807202,23.7314549
1.72E+18,144.5169219,2.869999886,9.31499958,0.126249999,90.36807202,23.7314549
1.72E+18,144.527176,2.831249952,9.734999657,0.087499999,90.36807202,23.7314549
1.72E+18,144.5374299,2.563750029,10.2699995,-0.141249999,90.36807202,23.7314549
1.72E+18,144.5476829,1.952499986,11.53125,-0.561249971,90.36807202,23.7314549
1.72E+18,144.557937,1.761250019,12.48624992,-0.752499998,90.36807202,23.7314549
1.72E+18,144.5681912,1.608749986,13.28874969,-0.714999974,90.36807202,23.7314549
1.72E+18,144.5784448,1.417500019,13.74749947,-0.676249981,90.36807202,23.7314549
1.72E+18,144.588699,1.30250001,14.39750004,-0.408749998,90.36807202,23.7314549
1.72E+18,144.5989531,1.30250001,13.97624969,-0.293749988,90.36807202,23.7314549
1.72E+18,144.609207,1.417500019,13.36499977,-0.064999998,90.36807202,23.7314549
1.72E+18,144.6194609,1.341249943,12.10374928,-0.103749998,90.36807202,23.7314549
1.72E+18,144.6297151,1.341249943,11.75999928,-0.217500001,90.36807202,23.7314549
1.72E+18,144.639969,1.493749976,11.45499992,-0.714999974,90.36807202,23.7314549
1.72E+18,144.6502229,1.837499976,11.11124992,-1.287500024,90.36807202,23.7314549
1.72E+18,144.6604761,2.258749962,9.926249504,-1.784999967,90.36807202,23.7314549
1.72E+18,144.6707302,1.991249919,9.849999428,-1.746249914,90.36807202,23.7314549
1.72E+18,144.6809839,1.569999933,10.19374943,-1.631249905,90.36807202,23.7314549
1.72E+18,144.691238,1.226249933,10.38500023,-1.211249948,90.36807202,23.7314549
1.72E+18,144.7014922,1.073750019,10.30875015,-0.79124999,90.36807202,23.7314549
1.72E+18,144.7117458,1.073750019,10.42249966,-0.256249994,90.36807202,23.7314549
1.72E+18,144.722,1.226249933,10.72875023,0.508749962,90.36807202,23.7314549
1.72E+18,144.7322542,1.188750029,10.80499935,0.584999979,90.36807202,23.7314549
1.72E+18,144.7425078,0.997500002,11.11124992,0.546249986,90.36807202,23.7314549
1.72E+18,144.752762,0.806249976,11.72249985,0.317499995,90.36807202,23.7314549
1.72E+18,144.7630161,0.310000002,12.94499969,-0.064999998,90.36807202,23.7314549
1.72E+18,144.773269,0.194999993,13.09749985,-0.371250004,90.36807202,23.7314549
1.72E+18,144.7835229,0.079999998,13.02124977,-0.408749998,90.36807202,23.7314549
1.72E+18,144.7937771,0.5,11.49249935,-0.179999992,90.36807202,23.7314549
1.72E+18,144.804031,0.882499993,10.65250015,0.087499999,90.36807202,23.7314549
1.72E+18,144.8142849,1.188750029,9.734999657,0.431249976,90.36807202,23.7314549
