,time,x,y,z,Latitude,Longitude
313,3.13045625,-2.32130003,-2.600999832,-4.487100124,23.7672516,90.3538015
314,3.140454688,-2.904199839,-2.994499922,-4.632599831,23.7672476,90.3538105
315,3.150451563,-3.290400028,-2.320199966,-4.182300091,23.7672565,90.3538169
316,3.160459375,-2.379999876,-1.316499949,-3.542099953,23.7672562,90.3538286
317,3.170454688,-1.336599946,-0.862499952,-3.805399895,23.7672464,90.3538511
318,3.180453125,-1.272699952,-1.398999929,-4.654299736,23.7672467,90.3538776
319,3.190454688,-2.208299875,-1.821299911,-4.756899834,23.7672618,90.353896
320,3.200454688,-2.293900013,-2.21969986,-4.174999714,23.7672553,90.3539141
321,3.210459375,-1.604200006,-2.979499817,-4.904799938,23.7672568,90.3539326
322,3.220495313,-0.921199977,-4.185400009,-6.70720005,23.7672581,90.3539253
323,3.230451563,-0.857899964,-4.946399689,-5.861000061,23.7672459,90.3537456
324,3.240454688,-1.111799955,-4.715399742,-3.478600025,23.7672603,90.3539352
325,3.250454688,-1.090999961,-4.423799992,-2.330600023,23.7672687,90.3537531
326,3.260460938,-0.274299979,-4.798199654,-2.968400002,23.7672642,90.3537638
327,3.270495313,0.425300002,-4.830199718,-3.72879982,23.7672698,90.3537789
328,3.28045625,0.828199983,-4.424699783,-3.872200012,23.7672635,90.3537953
329,3.290453125,0.97299999,-3.708299875,-3.989899874,23.7672709,90.3538034
330,3.300495313,0.637199998,-2.247200012,-4.103699684,23.7672496,90.3538195
331,3.310467188,0.119399995,0.020499999,-2.738600016,23.7672621,90.3538256
332,3.320454688,-0.320800006,2.90109992,-1.227499962,23.7672572,90.3538342
333,3.330496875,-0.523199976,5.197400093,-1.111699939,23.7672594,90.3538468
334,3.340451563,-0.347599983,6.442499638,-2.358599901,23.7672651,90.3538592
335,3.350454688,-0.269400001,6.91079998,-3.464900017,23.7672668,90.3538725
336,3.36050625,-0.531099975,6.927099705,-3.675699949,23.7672537,90.3538821
337,3.370454688,-0.588800013,6.73609972,-2.796700001,23.7672552,90.3538999
338,3.380454688,0.172299996,7.024099827,-0.740399957,23.7672626,90.3539104
339,3.390453125,1.731999993,7.193699837,1.753799915,23.7672648,90.3539207
340,3.400495313,2.584800005,6.361999989,3.789299965,23.7672488,90.3539308
341,3.410457813,3.024399996,4.482500076,3.912799835,23.7672584,90.3537432
